Minute,PC Date Time,VPHS,VMAG
1,2026-08-07 09:46:37,0.196,0.694
2,2026-08-07 09:47:37,0.197,0.693
3,2026-08-07 09:48:37,0.197,0.692
4,2026-08-07 09:49:37,0.198,0.692
5,2026-08-07 09:50:37,0.198,0.691
6,2026-08-07 09:51:37,0.198,0.692
7,2026-08-07 09:52:37,0.199,0.691
8,2026-08-07 09:53:37,0.199,0.691
9,2026-08-07 09:54:37,0.200,0.690
10,2026-08-07 09:55:37,0.199,0.690
11,2026-08-07 09:56:37,0.201,0.690
12,2026-08-07 09:57:37,0.200,0.689
13,2026-08-07 09:58:37,0.200,0.688
14,2026-08-07 09:59:37,0.201,0.688
15,2026-08-07 10:00:37,0.200,0.687
16,2026-08-07 10:01:37,0.200,0.687
17,2026-08-07 10:02:37,0.200,0.687
18,2026-08-07 10:03:37,0.199,0.687
19,2026-08-07 10:04:37,0.200,0.687
20,2026-08-07 10:05:37,0.201,0.688
21,2026-08-07 10:06:37,0.201,0.688
22,2026-08-07 10:07:37,0.200,0.688
23,2026-08-07 10:08:37,0.201,0.687
24,2026-08-07 10:09:37,0.202,0.688
25,2026-08-07 10:10:37,0.201,0.688
26,2026-08-07 10:11:37,0.201,0.688
27,2026-08-07 10:12:38,0.201,0.688
28,2026-08-07 10:13:37,0.201,0.687
29,2026-08-07 10:14:38,0.201,0.686
30,2026-08-07 10:15:38,0.200,0.686
31,2026-08-07 10:16:38,0.201,0.686
32,2026-08-07 10:17:38,0.201,0.685
33,2026-08-07 10:18:38,0.201,0.685
34,2026-08-07 10:19:38,0.201,0.685
35,2026-08-07 10:20:38,0.201,0.686
36,2026-08-07 10:21:38,0.201,0.686
37,2026-08-07 10:22:38,0.201,0.685
38,2026-08-07 10:23:38,0.200,0.686
39,2026-08-07 10:24:38,0.201,0.686
40,2026-08-07 10:25:38,0.201,0.686
41,2026-08-07 10:26:38,0.201,0.686
42,2026-08-07 10:27:38,0.201,0.685
43,2026-08-07 10:28:38,0.201,0.686
44,2026-08-07 10:29:38,0.201,0.685
45,2026-08-07 10:30:38,0.201,0.685
46,2026-08-07 10:31:38,0.199,0.685
47,2026-08-07 10:32:38,0.199,0.684
48,2026-08-07 10:33:38,0.199,0.684
49,2026-08-07 10:34:38,0.201,0.684
50,2026-08-07 10:35:38,0.199,0.684
51,2026-08-07 10:36:38,0.199,0.684
52,2026-08-07 10:37:38,0.200,0.684
53,2026-08-07 10:38:39,0.199,0.684
54,2026-08-07 10:39:39,0.200,0.684
55,2026-08-07 10:40:39,0.200,0.684
56,2026-08-07 10:41:39,0.200,0.684
57,2026-08-07 10:42:39,0.201,0.684
58,2026-08-07 10:43:39,0.200,0.684
59,2026-08-07 10:44:39,0.200,0.684
60,2026-08-07 10:45:39,0.200,0.684
61,2026-08-07 10:46:39,0.200,0.684
62,2026-08-07 10:47:39,0.200,0.684
63,2026-08-07 10:48:39,0.200,0.684
64,2026-08-07 10:49:39,0.200,0.683
65,2026-08-07 10:50:39,0.200,0.683
66,2026-08-07 10:51:39,0.200,0.682
67,2026-08-07 10:52:39,0.199,0.682
68,2026-08-07 10:53:39,0.198,0.682
69,2026-08-07 10:54:39,0.199,0.682
70,2026-08-07 10:55:39,0.201,0.682
71,2026-08-07 10:56:39,0.200,0.682
72,2026-08-07 10:57:39,0.200,0.683
73,2026-08-07 10:58:39,0.201,0.683
74,2026-08-07 10:59:39,0.200,0.683
75,2026-08-07 11:00:39,0.199,0.683
76,2026-08-07 11:01:39,0.199,0.683
77,2026-08-07 11:02:39,0.200,0.683
78,2026-08-07 11:03:39,0.199,0.683
79,2026-08-07 11:04:40,0.199,0.683
80,2026-08-07 11:05:40,0.200,0.683
81,2026-08-07 11:06:40,0.200,0.683
82,2026-08-07 11:07:40,0.200,0.683
83,2026-08-07 11:08:40,0.199,0.682
84,2026-08-07 11:09:40,0.199,0.682
85,2026-08-07 11:10:40,0.200,0.682
86,2026-08-07 11:11:40,0.199,0.682
87,2026-08-07 11:12:40,0.200,0.682
88,2026-08-07 11:13:40,0.199,0.682
89,2026-08-07 11:14:40,0.199,0.682
90,2026-08-07 11:15:40,0.199,0.682
91,2026-08-07 11:16:40,0.199,0.682
92,2026-08-07 11:17:40,0.199,0.682
93,2026-08-07 11:18:40,0.200,0.682
94,2026-08-07 11:19:40,0.200,0.683
95,2026-08-07 11:20:40,0.200,0.683
96,2026-08-07 11:21:40,0.199,0.683
97,2026-08-07 11:22:40,0.199,0.683
98,2026-08-07 11:23:40,0.199,0.683
99,2026-08-07 11:24:40,0.199,0.682
100,2026-08-07 11:25:40,0.199,0.682
101,2026-08-07 11:26:40,0.198,0.682
102,2026-08-07 11:27:40,0.198,0.681
103,2026-08-07 11:28:40,0.198,0.681
104,2026-08-07 11:29:41,0.198,0.681
105,2026-08-07 11:30:40,0.198,0.681
106,2026-08-07 11:31:41,0.198,0.681
107,2026-08-07 11:32:41,0.198,0.681
108,2026-08-07 11:33:41,0.197,0.681
109,2026-08-07 11:34:41,0.198,0.682
110,2026-08-07 11:35:41,0.198,0.682
111,2026-08-07 11:36:41,0.198,0.682
112,2026-08-07 11:37:41,0.198,0.682
113,2026-08-07 11:38:41,0.197,0.682
114,2026-08-07 11:39:41,0.199,0.682
115,2026-08-07 11:40:41,0.198,0.682
116,2026-08-07 11:41:41,0.199,0.682
117,2026-08-07 11:42:41,0.197,0.682
118,2026-08-07 11:43:41,0.198,0.682
119,2026-08-07 11:44:41,0.198,0.681
120,2026-08-07 11:45:41,0.197,0.681
