Arduino Second,Seconds After Door Closed,PC Date Time,VPHS,VMAG
1,-106,2026-08-11 14:43:39,0.592,0.811
2,-105,2026-08-11 14:43:40,0.589,0.810
3,-104,2026-08-11 14:43:41,0.591,0.812
4,-103,2026-08-11 14:43:42,0.592,0.814
5,-102,2026-08-11 14:43:43,0.590,0.813
6,-101,2026-08-11 14:43:44,0.590,0.813
7,-100,2026-08-11 14:43:45,0.589,0.813
8,-99,2026-08-11 14:43:46,0.588,0.813
9,-98,2026-08-11 14:43:47,0.589,0.813
10,-97,2026-08-11 14:43:48,0.589,0.814
11,-96,2026-08-11 14:43:49,0.590,0.814
12,-95,2026-08-11 14:43:50,0.679,0.749
13,-94,2026-08-11 14:43:51,0.595,0.720
14,-93,2026-08-11 14:43:52,0.594,0.713
15,-92,2026-08-11 14:43:53,0.799,0.782
16,-91,2026-08-11 14:43:54,0.829,0.966
17,-90,2026-08-11 14:43:55,1.436,0.719
18,-89,2026-08-11 14:43:56,0.506,0.720
19,-88,2026-08-11 14:43:57,0.588,0.751
20,-87,2026-08-11 14:43:58,0.605,0.762
21,-86,2026-08-11 14:43:59,0.614,0.773
22,-85,2026-08-11 14:44:00,0.615,0.779
23,-84,2026-08-11 14:44:01,0.613,0.784
24,-83,2026-08-11 14:44:02,0.612,0.788
25,-82,2026-08-11 14:44:03,0.608,0.790
26,-81,2026-08-11 14:44:04,0.609,0.793
27,-80,2026-08-11 14:44:05,0.609,0.794
28,-79,2026-08-11 14:44:06,0.611,0.797
29,-78,2026-08-11 14:44:07,0.611,0.798
30,-77,2026-08-11 14:44:08,0.610,0.799
31,-76,2026-08-11 14:44:09,0.608,0.800
32,-75,2026-08-11 14:44:10,0.608,0.801
33,-74,2026-08-11 14:44:11,0.607,0.802
34,-73,2026-08-11 14:44:12,0.607,0.803
35,-72,2026-08-11 14:44:13,0.600,0.806
36,-71,2026-08-11 14:44:14,0.601,0.809
37,-70,2026-08-11 14:44:15,0.600,0.810
38,-69,2026-08-11 14:44:16,0.599,0.811
39,-68,2026-08-11 14:44:17,0.599,0.811
40,-67,2026-08-11 14:44:18,0.598,0.812
41,-66,2026-08-11 14:44:19,0.598,0.812
42,-65,2026-08-11 14:44:20,0.594,0.812
43,-64,2026-08-11 14:44:21,0.595,0.813
44,-63,2026-08-11 14:44:22,0.588,0.811
45,-62,2026-08-11 14:44:23,0.588,0.812
46,-61,2026-08-11 14:44:24,0.593,0.814
47,-60,2026-08-11 14:44:25,0.592,0.814
48,-59,2026-08-11 14:44:26,0.591,0.814
49,-58,2026-08-11 14:44:27,0.589,0.814
50,-57,2026-08-11 14:44:28,0.590,0.815
51,-56,2026-08-11 14:44:29,0.586,0.814
52,-55,2026-08-11 14:44:30,0.588,0.815
53,-54,2026-08-11 14:44:31,0.589,0.816
54,-53,2026-08-11 14:44:32,0.591,0.817
55,-52,2026-08-11 14:44:33,0.589,0.817
56,-51,2026-08-11 14:44:34,0.585,0.815
57,-50,2026-08-11 14:44:35,0.587,0.817
58,-49,2026-08-11 14:44:36,0.584,0.820
59,-48,2026-08-11 14:44:37,0.580,0.822
60,-47,2026-08-11 14:44:38,0.580,0.823
61,-46,2026-08-11 14:44:39,0.579,0.824
62,-45,2026-08-11 14:44:40,0.578,0.824
63,-44,2026-08-11 14:44:41,0.576,0.824
64,-43,2026-08-11 14:44:42,0.577,0.825
65,-42,2026-08-11 14:44:43,0.577,0.826
66,-41,2026-08-11 14:44:44,0.576,0.825
67,-40,2026-08-11 14:44:45,0.576,0.825
68,-39,2026-08-11 14:44:46,0.575,0.826
69,-38,2026-08-11 14:44:47,0.575,0.826
70,-37,2026-08-11 14:44:48,0.572,0.824
71,-36,2026-08-11 14:44:49,0.571,0.824
72,-35,2026-08-11 14:44:50,0.573,0.826
73,-34,2026-08-11 14:44:51,0.574,0.827
74,-33,2026-08-11 14:44:52,0.574,0.827
75,-32,2026-08-11 14:44:53,0.573,0.827
76,-31,2026-08-11 14:44:54,0.573,0.827
77,-30,2026-08-11 14:44:55,0.573,0.828
78,-29,2026-08-11 14:44:56,0.574,0.828
79,-28,2026-08-11 14:44:57,0.573,0.828
80,-27,2026-08-11 14:44:58,0.572,0.828
81,-26,2026-08-11 14:44:59,0.570,0.827
82,-25,2026-08-11 14:45:00,0.571,0.828
83,-24,2026-08-11 14:45:01,0.571,0.829
84,-23,2026-08-11 14:45:02,0.570,0.829
85,-22,2026-08-11 14:45:03,0.570,0.829
86,-21,2026-08-11 14:45:04,0.569,0.829
87,-20,2026-08-11 14:45:05,0.569,0.829
88,-19,2026-08-11 14:45:06,0.570,0.829
89,-18,2026-08-11 14:45:07,0.569,0.829
90,-17,2026-08-11 14:45:08,0.568,0.829
91,-16,2026-08-11 14:45:09,0.568,0.829
92,-15,2026-08-11 14:45:10,0.568,0.829
93,-14,2026-08-11 14:45:11,0.567,0.829
94,-13,2026-08-11 14:45:12,0.566,0.829
95,-12,2026-08-11 14:45:13,0.568,0.830
96,-11,2026-08-11 14:45:14,0.567,0.830
97,-10,2026-08-11 14:45:15,0.566,0.829
98,-9,2026-08-11 14:45:16,0.566,0.830
99,-8,2026-08-11 14:45:17,0.566,0.830
100,-7,2026-08-11 14:45:18,0.566,0.830
101,-6,2026-08-11 14:45:19,0.566,0.830
102,-5,2026-08-11 14:45:20,0.565,0.830
103,-4,2026-08-11 14:45:21,0.563,0.830
104,-3,2026-08-11 14:45:22,0.564,0.830
105,-2,2026-08-11 14:45:23,0.564,0.831
106,-1,2026-08-11 14:45:24,0.564,0.831
107,0,2026-08-11 14:45:25,0.564,0.831
108,1,2026-08-11 14:45:26,0.564,0.831
109,2,2026-08-11 14:45:27,0.563,0.831
110,3,2026-08-11 14:45:28,0.564,0.831
111,4,2026-08-11 14:45:29,0.562,0.831
112,5,2026-08-11 14:45:30,0.562,0.831
113,6,2026-08-11 14:45:31,0.562,0.831
114,7,2026-08-11 14:45:32,0.562,0.832
115,8,2026-08-11 14:45:33,0.563,0.832
116,9,2026-08-11 14:45:34,0.562,0.832
117,10,2026-08-11 14:45:35,0.560,0.831
118,11,2026-08-11 14:45:36,0.559,0.830
119,12,2026-08-11 14:45:37,0.559,0.831
120,13,2026-08-11 14:45:38,0.560,0.832
121,14,2026-08-11 14:45:39,0.559,0.831
122,15,2026-08-11 14:45:40,0.559,0.831
123,16,2026-08-11 14:45:41,0.559,0.831
124,17,2026-08-11 14:45:42,0.559,0.832
125,18,2026-08-11 14:45:43,0.559,0.832
126,19,2026-08-11 14:45:44,0.559,0.832
127,20,2026-08-11 14:45:45,0.559,0.833
128,21,2026-08-11 14:45:46,0.558,0.832
129,22,2026-08-11 14:45:47,0.558,0.832
130,23,2026-08-11 14:45:48,0.558,0.832
131,24,2026-08-11 14:45:49,0.559,0.833
